Business_Name,ZCTA5,Public Address Street,Public Address City,Public Zip,Full Address,Geo,Operational_Status,Places_ID
Kroger Pharmacy,45439,2921 W Alex Bell Rd,Dayton,45459,"2921 W Alex Bell Rd, Dayton, OH 45459, USA","39.6754336,-84.2197989",OPERATIONAL,ChIJLfjcf4KIQIgRvA3fVnN-a0o
Kroger Pharmacy,45420,2115 E Dorothy Ln,Kettering,45420,"2115 E Dorothy Ln, Kettering, OH 45420, USA","39.7045539,-84.124715",OPERATIONAL,ChIJaTHM0xiFQIgRq11-_zLul_4
Kroger Pharmacy,45040,5100 Terra Firma Dr,Mason,45040,"5100 Terra Firma Dr, Mason, OH 45040, USA","39.3178108,-84.3157554",OPERATIONAL,ChIJP4HOVVhWQIgRLYEejC8iVxo
Walgreens Pharmacy,45342,1260 E Central Ave,Miamisburg,45342,"1260 E Central Ave, Miamisburg, OH 45342, USA","39.6397214,-84.2664094",OPERATIONAL,ChIJE4lQYSmIQIgRao_K01yitLk
Kroger Pharmacy,45039,2900 US-22 STE 1,Maineville,45039,"2900 US-22 STE 1, Maineville, OH 45039, USA","39.311127899999995,-84.2748763",OPERATIONAL,ChIJMTZmvG_4QIgRfbyOzuYRKbM
Kroger Pharmacy,45342,255 N Heincke Rd,Miamisburg,45342,"255 N Heincke Rd, Miamisburg, OH 45342, USA","39.6433622,-84.2665597",OPERATIONAL,ChIJk7_2GSmIQIgRB3aeYUyER64
Wellness 1 Pharmacy,45449,2092 S Alex Rd,Dayton,45449,"2092 S Alex Rd, Dayton, OH 45449, USA","39.6435029,-84.242627",OPERATIONAL,ChIJGZvr9UWIQIgR-0dH8y-4SCw
Primary Health Solutions Middletown Pharmacy,45044,1036 Verity Pkwy,Middletown,45044,"1036 Verity Pkwy, Middletown, OH 45044, USA","39.5054783,-84.4091413",OPERATIONAL,ChIJRQl_M9JdQIgRcbYKjWVE5q0
Meijer Pharmacy,45069,7390 Tylersville Rd,West Chester Township,45069,"7390 Tylersville Rd, West Chester Township, OH 45069, USA","39.3569806,-84.3769449",OPERATIONAL,ChIJI6mshnRaQIgRnawOx-RpXz8
Kroger Pharmacy,45440,5400 Cornerstone N Blvd,Dayton,45440,"5400 Cornerstone N Blvd, Dayton, OH 45440, USA","39.662434999999995,-84.1036024",OPERATIONAL,ChIJ03-2fv6PQIgRNbOJRNYgClA
CVS Pharmacy,45249,9841 Waterstone Blvd,Cincinnati,45249,"9841 Waterstone Blvd, Cincinnati, OH 45249, USA","39.2961291,-84.30480659999999",OPERATIONAL,ChIJ87UbglBWQIgRs03Qg80NuVE
CVS Pharmacy,45069,7644 Voice of America Centre Dr,West Chester Township,45069,"7644 Voice of America Centre Dr, West Chester Township, OH 45069, USA","39.3560745,-84.3609413",OPERATIONAL,ChIJH8y_8QZaQIgRGN4CI4ywnB4
Walgreens Pharmacy,45040,8060 Mason Montgomery Rd,Mason,45040,"8060 Mason Montgomery Rd, Mason, OH 45040, USA","39.32166,-84.31187109999999",OPERATIONAL,ChIJ_fKJVKdXQIgR9mMqTb5MEI8
Walgreens Pharmacy,45005,1300 E 2nd St,Franklin,45005,"1300 E 2nd St, Franklin, OH 45005, USA","39.5630753,-84.2770142",OPERATIONAL,ChIJ4aV5dtphQIgRN6ATQ-QUVc8
Kroger Pharmacy,45342,10101 Landing Way,Miamisburg,45342,"10101 Landing Way, Miamisburg, OH 45342, USA","39.6022412,-84.2302787",OPERATIONAL,ChIJAWFoOoOJQIgRUzQhrQaT4cU
CVS Pharmacy,45069,7217 Cincinnati Dayton Rd,West Chester Township,45069,"7217 Cincinnati Dayton Rd, West Chester Township, OH 45069, USA","39.3697684,-84.3861976",OPERATIONAL,ChIJwxrX02daQIgR9vBFGthwNKs
Kroger Pharmacy,45044,7300 Yankee Rd,Liberty Township,45044,"7300 Yankee Rd, Liberty Township, OH 45044, USA","39.37722660000001,-84.37611520000002",OPERATIONAL,ChIJRS6rS0daQIgRSN-BgxOy_zU
Carlisle Pharmacy,45005,771 Central Ave,Carlisle,45005,"771 Central Ave, Carlisle, OH 45005, USA","39.584278,-84.32521100000001",OPERATIONAL,ChIJfXGKoG9hQIgRN7iDn2cam9M
Biomed Specialty Pharmacy,45069,7731 Cox Ln,West Chester Township,45069,"7731 Cox Ln, West Chester Township, OH 45069, USA","39.3549842,-84.3661652",OPERATIONAL,ChIJ2XQmuQhaQIgRe24sJcXdFBQ
CVS Pharmacy,45402,32 N Ludlow St,Dayton,45402,"32 N Ludlow St, Dayton, OH 45402, USA","39.7601844,-84.1932824",OPERATIONAL,ChIJs3FXdFGBQIgRpSVSAcECaOs
Kroger Pharmacy,45241,12164 Lebanon Rd,Cincinnati,45241,"12164 Lebanon Rd, Cincinnati, OH 45241, USA","39.296475799999996,-84.3898487",OPERATIONAL,ChIJf7nHzw5RQIgRRpTKFlT06IE
Kroger Pharmacy,45069,7855 Tylersville Rd,West Chester Township,45069,"7855 Tylersville Rd, West Chester Township, OH 45069, USA","39.351209499999996,-84.36335919999999",OPERATIONAL,ChIJ6TM9swdaQIgRjAdO0npDFIc
Walmart Pharmacy,45005,1275 E 2nd St,Franklin,45005,"1275 E 2nd St, Franklin, OH 45005, USA","39.5662692,-84.2777557",OPERATIONAL,ChIJx-848NlhQIgRFhxYmwRVBmk
Walgreens Pharmacy,45040,1086 Reading Rd,Mason,45040,"1086 Reading Rd, Mason, OH 45040, USA","39.3375895,-84.34173810000001",OPERATIONAL,ChIJ__9vPUVXQIgRxwljtZMrXgI
Kroger Pharmacy,45040,5210 OH-741,Mason,45040,"5210 OH-741, Mason, OH 45040, USA","39.360726799999995,-84.27888569999999",OPERATIONAL,ChIJ45_o67ujSIgRamUaRFIutmc
Walgreens Pharmacy,45044,6330 Cincinnati Dayton Rd,Liberty Township,45044,"6330 Cincinnati Dayton Rd, Liberty Township, OH 45044, USA","39.3908292,-84.3703689",OPERATIONAL,ChIJmWPiozRaQIgR4Jl1jfvD31s
Community First Pharmacy,45405,300 Forest Ave,Dayton,45405,"300 Forest Ave, Dayton, OH 45405, USA","39.769221699999996,-84.2006837",OPERATIONAL,ChIJq6ouDkSBQIgRboVh8WznevE
Walgreens Pharmacy,45409,1200 Brown St,Dayton,45409,"1200 Brown St, Dayton, OH 45409, USA","39.7412545,-84.18187789999999",OPERATIONAL,ChIJOyOQ8hyEQIgRV66xbX3ofD0
Dayton Children's South Campus,45342,3333 W Tech Rd,Miamisburg,45342,"3333 W Tech Rd, Miamisburg, OH 45342, USA","39.589568199999995,-84.2388418",OPERATIONAL,ChIJS41fr8GDQIgRDJ4YreUVyiA
Clark's Rx Home Office,45459,7333 Paragon Rd #160,Dayton,45459,"7333 Paragon Rd #160, Dayton, OH 45459, USA","39.638806699999996,-84.1684441",OPERATIONAL,ChIJD6L5LCuPQIgRmIzjokqPeX0
Meijer Pharmacy,45324,3822 Colonel Glenn Hwy,Fairborn,45324,"3822 Colonel Glenn Hwy, Fairborn, OH 45324, USA","39.7772041,-84.07272309999999",OPERATIONAL,ChIJDX1qFu-cQIgRv1mRYanB9QI
Kroger Pharmacy,45305,6480 Wilmington Pike,Centerville,45459,"6480 Wilmington Pike, Centerville, OH 45459, USA","39.640003,-84.10808039999999",OPERATIONAL,ChIJ957or9uPQIgRIP77cYK9LXQ
Meijer Pharmacy,45440,4075 Wilmington Pike,Kettering,45440,"4075 Wilmington Pike, Kettering, OH 45440, USA","39.685838,-84.131666",OPERATIONAL,ChIJiRy1HW2FQIgRZa7kOgqHBUg
Walgreens Pharmacy,45410,1542 Wayne Ave,Dayton,45410,"1542 Wayne Ave, Dayton, OH 45410, USA","39.7469177,-84.17070149999999",OPERATIONAL,ChIJPb2fuw6EQIgRXbEmvBcjtsA
Kroger Pharmacy,45424,4506 Brandt Pike,Dayton,45424,"4506 Brandt Pike, Dayton, OH 45424, USA","39.8172885,-84.1253651",OPERATIONAL,ChIJ06I0gpaCQIgRcGDAtGBaiTI
Walgreens Pharmacy,45420,2600 S Smithville Rd,Dayton,45420,"2600 S Smithville Rd, Dayton, OH 45420, USA","39.7294872,-84.1405454",OPERATIONAL,ChIJwVI15_SEQIgRSjJo3oOXfY4
Walgreens Pharmacy,45305,6485 Wilmington Pike,Dayton,45459,"6485 Wilmington Pike, Dayton, OH 45459, USA","39.6390914,-84.11062539999999",OPERATIONAL,ChIJNRJz3tqPQIgReE3y2BPVmbw
Kroger Pharmacy,45324,1161 E Dayton Yellow Springs Rd,Fairborn,45324,"1161 E Dayton Yellow Springs Rd, Fairborn, OH 45324, USA","39.7863019,-83.9951531",OPERATIONAL,ChIJs-IXG2CeQIgRwmpqeg2JWRI
Kroger Pharmacy,45385,1700 W Park Square,Xenia,45385,"1700 W Park Square, Xenia, OH 45385, USA","39.6896017,-83.9582494",OPERATIONAL,ChIJRQ1uPUWYQIgRb4PsKfrLm5I
Kroger Pharmacy,45434,3165 Dayton Xenia Rd,Beavercreek,45434,"3165 Dayton Xenia Rd, Beavercreek, OH 45434, USA","39.7251215,-84.0541284",OPERATIONAL,ChIJd2ar6KGbQIgREMoLdyUNL7M
Walgreens Pharmacy,45429,4497 Far Hills Ave,Kettering,45429,"4497 Far Hills Ave, Kettering, OH 45429, USA","39.682036599999996,-84.1676813",OPERATIONAL,ChIJyz_mmO2FQIgRREt96XLWs7Y
Walgreens Pharmacy,45431,2269 N Fairfield Rd,Beavercreek,45431,"2269 N Fairfield Rd, Beavercreek, OH 45431, USA","39.755918,-84.0544572",OPERATIONAL,ChIJl7WXl3ycQIgRimn65Vd2l8Q
Kroger Pharmacy,45431,601 Woodman Dr,Dayton,45431,"601 Woodman Dr, Dayton, OH 45431, USA","39.757999399999996,-84.12212629999999",OPERATIONAL,ChIJU89VUreDQIgRM16Gb6WOA9Q
Walgreens Pharmacy,45424,5000 Brandt Pike,Huber Heights,45424,"5000 Brandt Pike, Huber Heights, OH 45424, USA","39.8258848,-84.1216949",OPERATIONAL,ChIJ_RP4baKCQIgRO43SElC43A4
Kroger Pharmacy,45406,3520 W Siebenthaler Ave,Dayton,45406,"3520 W Siebenthaler Ave, Dayton, OH 45406, USA","39.7968544,-84.245865",OPERATIONAL,ChIJIakYXl-AQIgROOW0XLCic5c
Kroger Pharmacy,45458,1095 S Main St,Centerville,45458,"1095 S Main St, Centerville, OH 45458, USA","39.6070267,-84.1635313",OPERATIONAL,ChIJHWsQD-aOQIgRLlz0uXpT_ic
CVS Pharmacy,45424,4996 Brandt Pike,Huber Heights,45424,"4996 Brandt Pike, Huber Heights, OH 45424, USA","39.8249197,-84.12185559999999",OPERATIONAL,ChIJY1UNfaKCQIgRadwo6IH-kGo
Walgreens Pharmacy,43160,1240 Columbus Ave,Washington Court House,43160,"1240 Columbus Ave, Washington Court House, OH 43160, USA","39.5471171,-83.4274569",OPERATIONAL,ChIJz9lhmaxIR4gRaRBxS1Zo7z0
Walgreens Pharmacy,45324,183 E Dayton Yellow Springs Rd,Fairborn,45324,"183 E Dayton Yellow Springs Rd, Fairborn, OH 45324, USA","39.7897927,-84.0202199",OPERATIONAL,ChIJP2LPRdSdQIgRgqhx-aFAJB0
Wellness 1 Pharmacy,45420,2420 Smithville Rd,Kettering,45420,"2420 Smithville Rd, Kettering, OH 45420, USA","39.71272940000001,-84.142437",OPERATIONAL,ChIJRSL8KIuEQIgR0uA4SYr_6kk
CVS Pharmacy,45458,400 Miamisburg Centerville Rd,Centerville,45459,"400 Miamisburg Centerville Rd, Centerville, OH 45459, USA","39.627398299999996,-84.1707708",OPERATIONAL,ChIJp2mu29iOQIgRm6iYhBwchmg
Kettering Health Main Campus Pharmacy,45429,3535 Southern Blvd,Dayton,45429,"3535 Southern Blvd, Dayton, OH 45429, USA","39.6967879,-84.1919648",OPERATIONAL,ChIJDxIc3nOGQIgRAFx292svYQo
CVS Pharmacy,45429,5981 Far Hills Ave,Dayton,45429,"5981 Far Hills Ave, Dayton, OH 45429, USA","39.659388,-84.15857559999999",OPERATIONAL,ChIJPZQ3Wm-PQIgRWXEOk96n8YU
Walmart Pharmacy,45459,6244 Wilmington Pike,Dayton,45459,"6244 Wilmington Pike, Dayton, OH 45459, USA","39.6477544,-84.1073911",OPERATIONAL,ChIJ60BNl-ePQIgR_mPfQ87qmgs
Walmart Pharmacy,45385,70 Hospitality Dr,Xenia,45385,"70 Hospitality Dr, Xenia, OH 45385, USA","39.689638200000005,-83.9689607",OPERATIONAL,ChIJEY5weE6YQIgRwK-xxfa9Y18
Walmart Pharmacy,45342,8800 Kingsridge Dr,Dayton,45458,"8800 Kingsridge Dr, Dayton, OH 45458, USA","39.630896799999995,-84.2127283",OPERATIONAL,ChIJI-ISOOCIQIgRo03iPAJMW8Q
Walgreens Pharmacy,45385,537 W Main St,Xenia,45385,"537 W Main St, Xenia, OH 45385, USA","39.6836244,-83.938785",OPERATIONAL,ChIJr2guwnOYQIgRvHc-fQH4NNA
CVS Pharmacy,45324,200 E Dayton Yellow Springs Rd,Fairborn,45324,"200 E Dayton Yellow Springs Rd, Fairborn, OH 45324, USA","39.788730799999996,-84.020431",OPERATIONAL,ChIJM1_T9dSdQIgRPNNIf-Wyr28
CVS Pharmacy,45420,1300 Wilmington Ave,Dayton,45420,"1300 Wilmington Ave, Dayton, OH 45420, USA","39.7234092,-84.1509119",OPERATIONAL,ChIJ9SnRU1qEQIgRvkZHeIsfkJs
CVS Pharmacy,45419,2801 Far Hills Ave,Kettering,45419,"2801 Far Hills Ave, Kettering, OH 45419, USA","39.705402899999996,-84.1710305",OPERATIONAL,ChIJB2CywM6FQIgR4KGV-RGVEGI
Home Town Pharmacy,45440,3899 Indian Ripple Rd suite a,Beavercreek,45440,"3899 Indian Ripple Rd suite a, Beavercreek, OH 45440, USA","39.6944393,-84.08042569999999",OPERATIONAL,ChIJc2Wmj8KaQIgRTfpAx6ZTvnQ
Walmart Pharmacy,45431,3360 Pentagon Blvd,Beavercreek,45431,"3360 Pentagon Blvd, Beavercreek, OH 45431, USA","39.772408999999996,-84.05473560000001",OPERATIONAL,ChIJ73B4T-ycQIgRJFtZBsjJT6c
Kroger Pharmacy,43160,548 Clinton Ave,Washington Court House,43160,"548 Clinton Ave, Washington Court House, OH 43160, USA","39.5340552,-83.4459499",OPERATIONAL,ChIJe7Hn48BIR4gRUhrAyUhSO3U
Walmart Pharmacy,43160,1397 Leesburg Ave,Washington Court House,43160,"1397 Leesburg Ave, Washington Court House, OH 43160, USA","39.5225149,-83.45618549999999",OPERATIONAL,ChIJtzQPS-RIR4gRsx8c4xbLU9I
CVS Pharmacy,43160,1795 Columbus Ave,Washington Court House,43160,"1795 Columbus Ave, Washington Court House, OH 43160, USA","39.5501858,-83.4226206",OPERATIONAL,ChIJEQGLblVPR4gRNk_Awwydkpg
Fayette Pharmacy,43160,1500 Columbus Ave,Washington Court House,43160,"1500 Columbus Ave, Washington Court House, OH 43160, USA","39.5484693,-83.42604419999999",OPERATIONAL,ChIJxZz2SqxIR4gRCbLXAQzk9Gw
Barr's Pharmacy of Sabina (Town Drug),45169,12459 US-22,Sabina,45169,"12459 US-22, Sabina, OH 45169, USA","39.4921682,-83.6193102",OPERATIONAL,ChIJD6ZAv261QIgRDuCza1Z6GYM
Circleville Apothecary,43113,1200 N Court St,Circleville,43113,"1200 N Court St, Circleville, OH 43113, USA","39.620976399999996,-82.94006689999999",OPERATIONAL,ChIJQ3sslDd4R4gRrjyU-lNgph0
Sterling Pharmacy,43143,283 Yankeetown St,Mt Sterling,43143,"283 Yankeetown St, Mt Sterling, OH 43143, USA","39.713991,-83.2679675",OPERATIONAL,ChIJdyxN8w1eR4gR8z9IspHrtLs
Ashville Apothecary,43103,3400 OH-752,Ashville,43103,"3400 OH-752, Ashville, OH 43103, USA","39.723909,-82.954608",OPERATIONAL,ChIJyz_KqON-R4gRaQtjOZDmDgY
IHS Pharmacy-Jamestown,45335,4940 Cottonville Rd,Jamestown,45335,"4940 Cottonville Rd, Jamestown, OH 45335, USA","39.6545303,-83.7509692",OPERATIONAL,ChIJYa9JcOSvQIgR6r-l2c3bqD0
COVID-19 Drive-Thru Testing at Walgreens,43160,1240 Columbus Ave,Washington Court House,43160,"1240 Columbus Ave, Washington Court House, OH 43160, USA","39.5470283,-83.4274124",OPERATIONAL,ChIJ5bnhhrRJR4gRgCQW9vLDJQk
Kroger Pharmacy,43113,175 Lancaster Pike,Circleville,43113,"175 Lancaster Pike, Circleville, OH 43113, USA","39.5979175,-82.9312989",OPERATIONAL,ChIJd5AysYt3R4gR8xKCBi_mMWc
Walgreens Pharmacy,43130,859 E Main St,Lancaster,43130,"859 E Main St, Lancaster, OH 43130, USA","39.7139081,-82.58399399999999",OPERATIONAL,ChIJV22TBuiKR4gRUXqj7AzHddo
Schieber Family Pharmacy,43113,212 Lancaster Pike,Circleville,43113,"212 Lancaster Pike, Circleville, OH 43113, USA","39.600038999999995,-82.93048639999999",OPERATIONAL,ChIJmdQuq4t3R4gRPhwhdmoGKt0
Walmart Pharmacy,43113,1470 S Court St,Circleville,43113,"1470 S Court St, Circleville, OH 43113, USA","39.5820504,-82.9484753",OPERATIONAL,ChIJBUiGR3V3R4gRT3mZuiYlYco
Kroger Pharmacy,43125,6011 Groveport Rd,Groveport,43125,"6011 Groveport Rd, Groveport, OH 43125, USA","39.8530975,-82.89909039999999",OPERATIONAL,ChIJ60HjHft9OIgR4z-roplJQGs
Walgreens Pharmacy,43110,6266 Gender Rd,Canal Winchester,43110,"6266 Gender Rd, Canal Winchester, OH 43110, USA","39.853384399999996,-82.8276021",OPERATIONAL,ChIJuWCxPw98OIgRqxmiqds1KCE
Meijer Pharmacy,43110,8300 Meijer Dr,Canal Winchester,43110,"8300 Meijer Dr, Canal Winchester, OH 43110, USA","39.8491899,-82.7771867",OPERATIONAL,ChIJWel3UC16OIgROwTyyEkdjkM
Kroger Pharmacy,43130,1621 N Memorial Dr,Lancaster,43130,"1621 N Memorial Dr, Lancaster, OH 43130, USA","39.7296616,-82.6169335",OPERATIONAL,ChIJ01I3vGiKR4gRp1oD-z4CbDw
Meijer Pharmacy,43130,2900 Columbus-Lancaster Rd NW,Lancaster,43130,"2900 Columbus-Lancaster Rd NW, Lancaster, OH 43130, USA","39.7495962,-82.65445799999999",OPERATIONAL,ChIJx7s3bQJ2OIgROqH5s9-lG88
CVS Pharmacy,43113,205 E Main St,Circleville,43113,"205 E Main St, Circleville, OH 43113, USA","39.6004365,-82.9423833",OPERATIONAL,ChIJ9UaJBod3R4gRXG5xMSd2pas
Kroger Pharmacy,43130,1141 E Main St,Lancaster,43130,"1141 E Main St, Lancaster, OH 43130, USA","39.7161333,-82.5793523",OPERATIONAL,ChIJJUv1NsOKR4gRZs7mAZV0jZc
Kroger Pharmacy,43110,6095 Gender Rd,Canal Winchester,43110,"6095 Gender Rd, Canal Winchester, OH 43110, USA","39.8557534,-82.8319386",OPERATIONAL,ChIJS6fwMA58OIgRhHX3xPiEnv0
CVS Pharmacy,43130,111 S Memorial Dr,Lancaster,43130,"111 S Memorial Dr, Lancaster, OH 43130, USA","39.713114,-82.6067552",OPERATIONAL,ChIJzRsDimqLR4gRYzkOOjM3B9Q
Walgreens Pharmacy,43130,911 N Memorial Dr,Lancaster,43130,"911 N Memorial Dr, Lancaster, OH 43130, USA","39.724395099999995,-82.60896180000002",OPERATIONAL,ChIJ7ZMTPl6KR4gRfJrjBQQXsj4
CVS Pharmacy,43130,1300 River Valley Blvd,Lancaster,43130,"1300 River Valley Blvd, Lancaster, OH 43130, USA","39.7300238,-82.62149989999999",OPERATIONAL,ChIJEdwyQWmKR4gRm4P9y1I4GZo
Walmart Pharmacy,43110,6674 Winchester Blvd,Canal Winchester,43110,"6674 Winchester Blvd, Canal Winchester, OH 43110, USA","39.8524904,-82.8235612",OPERATIONAL,ChIJV8QdJgl8OIgRUlKMeUUGDW0
Risch,43130,533 N Columbus St,Lancaster,43130,"533 N Columbus St, Lancaster, OH 43130, USA","39.7198834,-82.6044481",OPERATIONAL,ChIJswTUBfaKR4gRA0M50yX-nqo
Walmart Pharmacy,43130,2687 N Memorial Dr,Lancaster,43130,"2687 N Memorial Dr, Lancaster, OH 43130, USA","39.7398807,-82.6423727",OPERATIONAL,ChIJNZfobwSKR4gR6WjfKdKeN9M
The Medicine Shoppe,43130,900 E Main St,Lancaster,43130,"900 E Main St, Lancaster, OH 43130, USA","39.71315,-82.583381",OPERATIONAL,ChIJ79ezV92KR4gRB41sPOPrMkA
Giant Eagle Pharmacy,43130,1394 Ety Shops Wy Nw,Lancaster,43130,"1394 Ety Shops Wy Nw, Lancaster, OH 43130, USA","39.738932899999995,-82.6356821",OPERATIONAL,ChIJRwQOwA-KR4gRXQBjwU5o_eQ
Young's Pharmacy,43135,15986 OH-56 E,Laurelville,43135,"15986 OH-56 E, Laurelville, OH 43135, USA","39.473994999999995,-82.740403",OPERATIONAL,ChIJSxZWG9GZR4gR0TXs-7RD1-A
Kroger Pharmacy,43130,401 N Ewing St,Lancaster,43130,"401 N Ewing St, Lancaster, OH 43130, USA","39.717532,-82.57773019999999",OPERATIONAL,ChIJ99mxDsSKR4gRjcQzT0RqNzQ
Kroger Pharmacy,43147,7833 Refugee Rd,Pickerington,43147,"7833 Refugee Rd, Pickerington, OH 43147, USA","39.9058274,-82.7348909",OPERATIONAL,ChIJoeGU_ad6OIgRpIdhtsW_x3Y
Kroger Pharmacy,43110,3588 Gender Rd,Canal Winchester,43110,"3588 Gender Rd, Canal Winchester, OH 43110, USA","39.9083221,-82.822558",OPERATIONAL,ChIJ6wHQ5qB8OIgRgjEbKjlMPP8
Walgreens Pharmacy,43147,1101 Hill Rd N,Pickerington,43147,"1101 Hill Rd N, Pickerington, OH 43147, USA","39.910622499999995,-82.77951279999999",OPERATIONAL,ChIJh1J8dih7OIgRx58BB3wkLH8
Genoa Healthcare,43130,1550 Sheridan Dr Suite 202,"Room P, Lancaster",43130,"1550 Sheridan Dr Suite 202, Room P, Lancaster, OH 43130, USA","39.7390872,-82.5677797",OPERATIONAL,ChIJkcMPhEmLR4gRYEcbRB6jbMw
Cvs pharmacy,43764,W Broadway St,New Lexington,43764,"W Broadway St, New Lexington, OH 43764, USA","39.7204054,-82.21650559999999",OPERATIONAL,ChIJsaIKkpEBOIgRNM-dKo5ymFc
Genesis Perry County Medical Center,43783,301 Dr Mike Clouse Dr Suite 2,Somerset,43783,"301 Dr Mike Clouse Dr Suite 2, Somerset, OH 43783, USA","39.79861,-82.2972346",OPERATIONAL,ChIJzb8isVEBOIgRkCTVDAcgeno
Kroger Pharmacy,43138,31550 Chieftain Dr,Logan,43138,"31550 Chieftain Dr, Logan, OH 43138, USA","39.5462603,-82.4342178",OPERATIONAL,ChIJh3ZEeUnuR4gRRQLHo2oDjfM
Walmart Pharmacy,43138,12910 OH-664,Logan,43138,"12910 OH-664, Logan, OH 43138, USA","39.5382714,-82.4372219",OPERATIONAL,ChIJNw0EP07uR4gRExsQ-si5d0E
CVS Pharmacy,43138,1390 W Hunter St,Logan,43138,"1390 W Hunter St, Logan, OH 43138, USA","39.5441682,-82.42817280000001",OPERATIONAL,ChIJQ0f7i7PvR4gRPCIvGKbRyHI
Shrivers Pharmacy,43138,21 Hocking Mall,Logan,43138,"21 Hocking Mall, Logan, OH 43138, USA","39.544514299999996,-82.429417",OPERATIONAL,ChIJf-srfrPvR4gRnTP9eZwTZvc
Kroger Pharmacy,43764,610 Carroll St,New Lexington,43764,"610 Carroll St, New Lexington, OH 43764, USA","39.721522799999995,-82.2031519",OPERATIONAL,ChIJZX4JZ_3_N4gRiQXbBjgQWS4
Hopewell Health Centers-Primary Care,43138,30381 Chieftain Dr,Logan,43138,"30381 Chieftain Dr, Logan, OH 43138, USA","39.5544357,-82.4550399",OPERATIONAL,ChIJlSGlkbPvR4gRiPlhnftnLBo
Genesis Somerset Pharmacy,43783,110 W Main St,Somerset,43783,"110 W Main St, Somerset, OH 43783, USA","39.806885099999995,-82.3002036",OPERATIONAL,ChIJv4EWPFUBOIgR7ZctB39Kqbs
Genesis Roseville Pharmacy,43777,157 S Main St,Roseville,43777,"157 S Main St, Roseville, OH 43777, USA","39.800751999999996,-82.073707",OPERATIONAL,ChIJ5ybBLWX7N4gRyuRlSqiYPn0
CVS Pharmacy,43764,251 E Broadway St,New Lexington,43764,"251 E Broadway St, New Lexington, OH 43764, USA","39.720309799999995,-82.2058144",OPERATIONAL,ChIJx47sZP3_N4gROV1kCGCFSUA
The Medicine Shoppe,43105,114 N Main St,Baltimore,43105,"114 N Main St, Baltimore, OH 43105, USA","39.8459362,-82.60117749999999",OPERATIONAL,ChIJmbvS83RzOIgRN5SNAmj1JfQ
Embrace Healthcare,43112,3675 Dolson Ct NW,Carroll,43112,"3675 Dolson Ct NW, Carroll, OH 43112, USA","39.7613367,-82.6693895",OPERATIONAL,ChIJuZiJ5xd2OIgRH0kpmeaysTM
Kroger Pharmacy,43147,1045 Hill Rd N,Pickerington,43147,"1045 Hill Rd N, Pickerington, OH 43147, USA","39.906774899999995,-82.77941729999999",OPERATIONAL,ChIJFcqhQCh7OIgRQ5qCAJHu3oA
Freedom Pharmacy,43147,641 Hill Rd N Ste. C,Pickerington,43147,"641 Hill Rd N Ste. C, Pickerington, OH 43147, USA","39.8981417,-82.7663299",OPERATIONAL,ChIJaY-ydDd7OIgR6zyQz_uS4JM
CVS Pharmacy,43110,3506 Gender Rd,Canal Winchester,43110,"3506 Gender Rd, Canal Winchester, OH 43110, USA","39.9101955,-82.8234573",OPERATIONAL,ChIJIabVA6d8OIgR5CbASSmxC0Q
Thornville Pharmacy,43076,2 S Main St,Thornville,43076,"2 S Main St, Thornville, OH 43076, USA","39.8964602,-82.4207939",OPERATIONAL,ChIJh13FH9gPOIgR1nKfyr3RU0s
Giant Eagle Pharmacy,43125,3841 S Hamilton Rd,Groveport,43125,"3841 S Hamilton Rd, Groveport, OH 43125, USA","39.895988599999995,-82.88458659999999",OPERATIONAL,ChIJc-oNXA19OIgRG__MGWZsqRY
Shrivers Pharmacy / Crooksville Do It Best Hardware,43731,120 S Buckeye St,Crooksville,43731,"120 S Buckeye St, Crooksville, OH 43731, USA","39.76837,-82.0993369",OPERATIONAL,ChIJe7bnDET8N4gRZISnR76H_Ds
Millersport Pharmacy,43046,12075 Lancaster St,Millersport,43046,"12075 Lancaster St, Millersport, OH 43046, USA","39.899653099999995,-82.535069",OPERATIONAL,ChIJfcyaq1QNOIgRg5joR5eYfX4
Swingle Debra,43777,157 S Main St,Roseville,43777,"157 S Main St, Roseville, OH 43777, USA","39.800751999999996,-82.073707",OPERATIONAL,ChIJ5ybBLWX7N4gRXmNN1A0F11M
CVS Pharmacy,43147,1100 Hill Rd N,Pickerington,43147,"1100 Hill Rd N, Pickerington, OH 43147, USA","39.9106921,-82.7781106",OPERATIONAL,ChIJAUBiASh7OIgRbidIy6pflPw
White's Pharmacy,43227,4057 E Livingston Ave,Columbus,43227,"4057 E Livingston Ave, Columbus, OH 43227, USA","39.9449532,-82.8880561",OPERATIONAL,ChIJJZ4WAb9iOIgRqbNE-NkiH_c
Giant Eagle Pharmacy,43147,873 Refugee Rd,Pickerington,43147,"873 Refugee Rd, Pickerington, OH 43147, USA","39.9083827,-82.7756677",OPERATIONAL,ChIJM7YPQdh6OIgRzZLY9m09nDg
Walmart Pharmacy,43068,2793 Taylor Rd Ext,Reynoldsburg,43068,"2793 Taylor Rd Ext, Reynoldsburg, OH 43068, USA","39.9388692,-82.7851428",OPERATIONAL,ChIJ69cJYttkOIgR6ZVpeBEsfLE
Meijer Pharmacy,43068,8000 E Broad St,Reynoldsburg,43068,"8000 E Broad St, Reynoldsburg, OH 43068, USA","39.987845,-82.78904",OPERATIONAL,ChIJHcBq_ExjOIgR4u1fp-wOZjg
