Business_Name,ZCTA5,Public Address Street,Public Address City,Public Zip,Full Address,Geo,Operational_Status,Places_ID
Smith's Pharmacy,45662,741 2nd St,Portsmouth,45662,"741 2nd St, Portsmouth, OH 45662, USA","38.7318162,-82.99715180000001",OPERATIONAL,ChIJkb9SpX6MRogRgb1MH-DzS1E
Morton's Pharmacy,45662,1865 Coles Blvd,Portsmouth,45662,"1865 Coles Blvd, Portsmouth, OH 45662, USA","38.7564,-82.9759",OPERATIONAL,ChIJn8_55kGLRogRPlPqBIyBzEc
Fruth Pharmacy,45638,1848 OH-141,Ironton,45638,"1848 OH-141, Ironton, OH 45638, USA","38.527045,-82.664045",OPERATIONAL,ChIJI3wK29lzRogRd6h7v5WoBrA
SOMC Pharmacy South Campus,45662,1248 Kinneys Ln,Portsmouth,45662,"1248 Kinneys Ln, Portsmouth, OH 45662, USA","38.7461239,-82.98729070000002",OPERATIONAL,ChIJydwgU3uLRogRm-p0IwAmWoA
CVS Pharmacy,45662,802 11th St,Portsmouth,45662,"802 11th St, Portsmouth, OH 45662, USA","38.7387953,-82.9959441",OPERATIONAL,ChIJU63yVYCMRogRjb9UtQcAoMg
CVS Pharmacy,45638,1109 Ironton Hills Dr,Ironton,45638,"1109 Ironton Hills Dr, Ironton, OH 45638, USA","38.5433673,-82.6749248",OPERATIONAL,ChIJ7Z0YGQxxRogRSZi1SUlrGEw
SOMC Pharmacy Main Campus,45662,1805 27th St,Portsmouth,45662,"1805 27th St, Portsmouth, OH 45662, USA","38.7531509,-82.97778319999999",OPERATIONAL,ChIJL6YsWbOLRogRRH6xtlFD2Ms
CVS Pharmacy,45662,2812 Scioto Trail,Portsmouth,45662,"2812 Scioto Trail, Portsmouth, OH 45662, USA","38.757522699999996,-82.99046919999999",OPERATIONAL,ChIJz3Gz0V-LRogRDyXwyPWXDeg
Clinical Pharmacy Services LLC,45694,117 Kittle Rd,Wheelersburg,45694,"117 Kittle Rd, Wheelersburg, OH 45694, USA","38.7574621,-82.7975683",OPERATIONAL,ChIJZ_HcpGdnRogRqYa0uYhucbU
"J A. Pierron, R",45662,902 Washington St,Portsmouth,45662,"902 Washington St, Portsmouth, OH 45662, USA","38.7375779,-82.9982378",OPERATIONAL,ChIJkeTXtYCMRogRjlO9sosBsFE
Genoa Healthcare,45638,225 Carlton Davidson Ln Room 1,Coal Grove,45638,"225 Carlton Davidson Ln Room 1, Coal Grove, OH 45638, USA","38.5035313,-82.64838639999999",OPERATIONAL,ChIJhWi02Ah3RogRWhd00X1FUHk
Walmart Pharmacy,45662,4490 Gallia St,New Boston,45662,"4490 Gallia St, New Boston, OH 45662, USA","38.753021,-82.9251127",OPERATIONAL,ChIJoQqhQ76KRogRGw5FBw4CieU
CVS Pharmacy,45662,4207 Gallia St,New Boston,45662,"4207 Gallia St, New Boston, OH 45662, USA","38.7556484,-82.93225269999999",OPERATIONAL,ChIJ6XbnpsGKRogReCvHb34cNeM
Walmart Pharmacy,45680,354 Private Dr # 1,South Point,45680,"354 Private Dr # 1, South Point, OH 45680, USA","38.410849,-82.5238261",OPERATIONAL,ChIJgxm67-yXOIgRnxXzt2b2bcs
Sam's Club Pharmacy,45680,432 Walmart Way,South Point,45680,"432 Walmart Way, South Point, OH 45680, USA","38.411336,-82.52308459999999",OPERATIONAL,ChIJGRrkbyrgRYgRWacrUX1PP8o
CVS Pharmacy,45619,219 3rd Ave,Chesapeake,45619,"219 3rd Ave, Chesapeake, OH 45619, USA","38.4282919,-82.453576",OPERATIONAL,ChIJNYxn1cEJRogRrk6KmwzkMI8
Kroger Pharmacy,45669,6306 County Rd 107,Proctorville,45669,"6306 County Rd 107, Proctorville, OH 45669, USA","38.4369679,-82.3867965",OPERATIONAL,ChIJqUOnJpTZNYgRWJyGgBvpxt4
Genoa Healthcare,25705,55 Donohoe Dr,Huntington,25705,"55 Donohoe Dr, Huntington, WV 25705, USA","38.410479599999995,-82.3737218",OPERATIONAL,ChIJP0W4JAAHRogRtn4MgjIn8ys
TriHealth Pharmacy Solutions,45212,4623 Wesley Ave,Cincinnati,45212,"4623 Wesley Ave, Cincinnati, OH 45212, USA","39.1613744,-84.4512803",OPERATIONAL,ChIJl-bS5JCyQYgR3I_62fcgApA
Kroger Pharmacy,45238,5080 Delhi Rd,Cincinnati,45238,"5080 Delhi Rd, Cincinnati, OH 45238, USA","39.0962459,-84.61278659999999",OPERATIONAL,ChIJdw52H-fJQYgRJpF6IPmy_Lc
Walgreens Pharmacy,45202,406 Main St,Cincinnati,45202,"406 Main St, Cincinnati, OH 45202, USA","39.1006079,-84.5093176",OPERATIONAL,ChIJZ9P1_1qxQYgRaIok87ViS0k
Walgreens Pharmacy,45230,7135 Beechmont Ave,Cincinnati,45230,"7135 Beechmont Ave, Cincinnati, OH 45230, USA","39.073034899999996,-84.3621556",OPERATIONAL,ChIJhb0hAM-uQYgRnKJwk5w1F6A
Walgreens Pharmacy,45238,2320 Boudinot Ave,Cincinnati,45238,"2320 Boudinot Ave, Cincinnati, OH 45238, USA","39.128474,-84.60479",OPERATIONAL,ChIJw-z4dPa1QYgRfAwQ0tMwhig
Walgreens Pharmacy,45238,398 Anderson Ferry Rd,Cincinnati,45238,"398 Anderson Ferry Rd, Cincinnati, OH 45238, USA","39.093731399999996,-84.6176859",OPERATIONAL,ChIJ95TVFujJQYgRKfVmrnMt87U
Kroger Pharmacy,45255,7580 Beechmont Ave,Cincinnati,45255,"7580 Beechmont Ave, Cincinnati, OH 45255, USA","39.0744691,-84.34803579999999",OPERATIONAL,ChIJOfbpDzGpQYgRsVcBB7jmUAc
Kroger Pharmacy,45209,4613 Marburg Ave,Cincinnati,45209,"4613 Marburg Ave, Cincinnati, OH 45209, USA","39.1602767,-84.427211",OPERATIONAL,ChIJobFTb2-tQYgRtoh1S_FrsxQ
Kroger Pharmacy,45238,2310 Ferguson Rd,Cincinnati,45238,"2310 Ferguson Rd, Cincinnati, OH 45238, USA","39.126697899999996,-84.5973819",OPERATIONAL,ChIJRWborPa1QYgRRApSgRB4Sbs
Walgreens Pharmacy,45219,3 W Corry St,Cincinnati,45219,"3 W Corry St, Cincinnati, OH 45219, USA","39.1287458,-84.5107812",OPERATIONAL,ChIJ__8_T-2zQYgRkP-VnaVBgw0
CVS Pharmacy,45219,17 William Howard Taft Rd,Cincinnati,45219,"17 William Howard Taft Rd, Cincinnati, OH 45219, USA","39.127610399999995,-84.51087179999999",OPERATIONAL,ChIJ8Tjpbu2zQYgRzfFbzIpZ4xk
CVS Pharmacy,45202,36 E 7th St,Cincinnati,45202,"36 E 7th St, Cincinnati, OH 45202, USA","39.1040443,-84.51260850000001",OPERATIONAL,ChIJy2YYT1exQYgRLnXjMQ9zXnM
Walgreens Pharmacy,45230,2203 Beechmont Ave,Mt Washington,45230,"2203 Beechmont Ave, Mt Washington, OH 45230, USA","39.0943621,-84.38763589999999",OPERATIONAL,ChIJ_eHHGoWuQYgRTC878zYVhx4
Kroger Pharmacy,45219,1 W Corry St,Cincinnati,45219,"1 W Corry St, Cincinnati, OH 45219, USA","39.1284692,-84.5091765",OPERATIONAL,ChIJq6qqJ-2zQYgRzrtPbqbDvMY
