co_fip,co_name,state,population,under18,over65,black_pct,asian_pct,native_pct,hispanic_pct,white_pct,rural_pct,pop_density_2020,college_pct_2020,rural_urban_continuum_code_2013,urban_influence_code_2013,metro_2013,hh_income_med_2020,hh_income_med_pct_of_state_2020,five_ohios,six_ohios,Religious2010,Evangelical2010,Mainline2010,Catholic2010,evan_prri,DMA,DMAnumber,black_18,latino_18,age_18,density_18,rural,rural2
39103,Medina,OH,183092,21.7,19.1,1.521,0.205,0.027,2.615,92.969,29.794,162,35,1,1,1,"79,504",132,0,0,516.47,107.57,110.58,281.51,21,"Cleveland-Akron (Canton), OH",41,1,2,42,423,1,0
39105,Meigs,OH,22049,21,21,0.871,0.327,0.018,0.857,96.381,81.296,21,12,6,6,0,"44,622",74,3,3,270.3,164.45,88.98,11.91,39,"Charleston-Huntington, WV",32,1,1,43,53,0,1
39107,Mercer,OH,42309,26.3,19,0.449,0.324,0.863,1.865,94.852,61.359,34,20,7,8,0,"69,588",115,1,5,801.27,82.69,137.18,581.37,32,"Dayton, OH",51,1,2,40,87,0,1
39109,Miami,OH,109264,23.1,19.2,2.632,0.239,0.043,1.995,91.207,30.798,100,24,2,2,1,"63,699",106,4,5,372.26,109.57,148.74,105.95,32,"Dayton, OH",51,2,2,41,259,1,0
39111,Monroe,OH,13329,20.5,23.7,0.728,0.195,0.015,0.683,96.669,97.651,12,13,8,7,0,"48,944",81,3,3,512.7,284.66,176.41,51.63,37,"Wheeling, WV-Steubenville, OH",200,1,0,47,30,0,1
39113,Montgomery,OH,535840,22.1,18.3,21.422,0.273,0.068,3.566,69.528,4.331,445,29,2,2,1,"54,692",91,4,5,485.46,174.41,89.62,147.45,21,"Dayton, OH",51,21,3,39,1145,1,0
39115,Morgan,OH,13682,20.6,22.3,2.872,0.387,0.007,1.045,91.69,81.487,14,11,6,4,0,"45,698",76,3,2,248.44,132.79,106.95,8.57,39,"Columbus, OH",46,3,1,44,34,0,1
39117,Morrow,OH,35151,22.1,18.5,0.774,0.25,0.04,1.767,95.303,88.839,33,15,1,1,1,"68,159",113,2,2,239.21,123.5,103.31,12.2,33,"Columbus, OH",46,1,1,42,86,1,0
39119,Muskingum,OH,86408,22.7,18.4,3.827,0.326,0.032,1.341,90.968,47.033,50,18,4,3,0,"52,457",87,3,2,367.47,123.59,169.47,60.06,28,"Zanesville, OH",208,3,1,40,128,0,1
39121,Noble,OH,14176,18.8,28.7,3.196,0.381,0.021,0.776,94.166,62.526,14,12,7,10,0,"52,583",87,3,3,273.95,98.46,70.13,105.29,28,"Wheeling, WV-Steubenville, OH",200,4,1,50,36,0,1
39123,Ottawa,OH,40104,18,26.4,0.91,0.259,0.04,5.374,91.804,49.447,62,26,4,5,0,"65,582",109,1,1,507.39,56.53,274.91,174.83,20,"Toledo, OH",185,1,5,49,69,0,1
39125,Paulding,OH,18871,24.1,19.2,0.954,0.498,0.037,5.167,92.062,81.901,17,16,6,6,0,"62,062",103,1,5,522.59,140.15,151.27,231.06,40,"Ft. Wayne, IN",69,1,5,42,45,0,1
39127,Perry,OH,35460,23.6,17.6,0.541,0.353,0.149,1.004,96.23,75.243,34,13,1,1,1,"56,048",93,3,3,263.55,78.4,101.92,83.2,35,"Columbus, OH",46,1,1,40,88,1,0
39129,Pickaway,OH,59333,21.5,16.1,3.809,0.302,0.04,1.679,91.956,49.865,44,20,1,1,1,"64,412",107,2,2,207.98,78.1,95.08,31.42,29,"Columbus, OH",46,4,1,39,115,1,0
39131,Pike,OH,27089,23.9,18.4,1.218,0.757,0.081,1.336,94.385,74.238,25,15,7,9,0,"46,413",77,3,3,197.88,149.12,32.5,9.58,42,"Columbus, OH",46,1,1,41,63,0,1
39133,Portage,OH,162382,18.3,17.7,4.89,0.217,0.057,2.161,88.511,32.813,129,30,2,2,1,"64,250",106,0,0,276.67,65.6,72.84,123.31,23,"Cleveland-Akron (Canton), OH",41,4,2,38,323,1,0
39135,Preble,OH,40867,22.3,19.9,0.702,0.362,0.015,1.138,95.843,69.224,38,18,6,4,0,"60,856",101,4,5,309.39,164.18,117.67,19.99,38,"Dayton, OH",51,1,1,43,96,0,1
39137,Putnam,OH,34318,25.8,18.4,0.446,0.382,0.02,6.801,91.64,84.66,27,25,6,6,0,"72,299",120,1,1,785.12,106.12,76.26,602.74,31,"Lima, OH",108,1,6,40,70,0,1
39139,Richland,OH,125195,21.9,20,9.27,0.234,0.052,2.217,85.094,32.055,95,18,3,2,1,"52,295",87,2,0,423.23,223.6,99.26,77.59,36,"Cleveland-Akron (Canton), OH",41,9,2,41,242,0,1
39141,Ross,OH,76891,21.1,17.6,5.751,0.349,0.031,1.369,89.473,58.671,43,17,4,3,0,"49,543",82,3,3,257.1,122.31,88.95,35.23,34,"Columbus, OH",46,6,1,41,111,0,1
39143,Sandusky,OH,58715,22,19.8,3.108,0.397,0.027,10.701,83.156,44.144,56,18,4,5,0,"60,455",100,1,1,474.06,92.58,167.94,203.4,24,"Toledo, OH",185,3,10,42,141,0,1
39145,Scioto,OH,73346,21.8,18.8,2.747,0.555,0.02,1.575,92.804,54.277,48,16,4,5,0,"44,297",73,3,3,247.12,136.34,55.57,40.88,41,"Charleston-Huntington, WV",32,3,1,40,122,0,1
39147,Seneca,OH,54906,21.7,18.9,2.297,0.344,0.058,5.688,88.843,47.509,39,18,4,5,0,"58,129",96,1,1,542,51.62,144.88,331.36,28,"Toledo, OH",185,3,5,40,100,0,1
39149,Shelby,OH,47977,24.7,17.4,2.247,0.242,0.115,1.634,92.351,51.112,46,19,4,5,0,"67,582",112,4,5,571.68,120.53,166.74,270.18,28,"Dayton, OH",51,2,2,40,118,0,1
39151,Stark,OH,373834,21.5,20.1,7.926,0.302,0.043,2.429,85.592,13.53,251,24,2,2,1,"57,364",95,0,0,469.66,162.3,120.72,148.65,25,"Cleveland-Akron (Canton), OH",41,8,2,42,640,1,0
39153,Summit,OH,537633,20.8,18.9,15.009,0.218,0.045,2.528,75.369,3.877,507,34,2,2,1,"60,715",101,0,0,470.22,135.82,85.87,215.85,21,"Cleveland-Akron (Canton), OH",41,15,2,41,1285,1,0
39155,Trumbull,OH,201335,20.6,22.1,8.57,0.245,0.03,2.098,86.358,27.273,126,19,2,2,1,"48,929",81,0,0,458.37,119.61,110.91,189,29,"Youngstown, OH",206,8,2,44,313,1,0
39157,Tuscarawas,OH,92500,22.9,20,0.808,0.559,0.253,3.619,93.587,41.58,63,18,4,5,0,"58,256",97,3,0,491.34,185.69,204.23,94.51,38,"Cleveland-Akron (Canton), OH",41,1,3,41,161,0,1
39159,Union,OH,64971,24.4,13,2.635,0.217,0.025,2.483,87.401,49.952,50,38,1,1,1,"92,198",153,2,2,310.65,106.98,146.44,47.8,31,"Columbus, OH",46,3,2,38,132,1,0
39161,Van Wert,OH,28732,23.3,19.9,1.02,0.456,0.038,4.086,93.029,50.727,27,17,6,5,0,"57,863",96,1,5,422.07,169.22,168.87,83.84,40,"Ft. Wayne, IN",69,1,3,41,69,0,1
39163,Vinton,OH,12696,21.3,18.6,0.567,0.449,0.008,1.071,96.093,100,12,13,8,4,0,"49,778",82,3,3,203.28,116.71,62.82,14.89,44,"Charleston-Huntington, WV",32,0,1,42,31,0,1
39165,Warren,OH,246553,23.9,15.2,3.747,0.204,0.135,3.201,84.05,17.266,218,44,1,1,1,"90,600",150,4,4,292.58,148.38,51.13,91.72,25,"Cincinnati, OH",39,4,3,39,571,1,0
39167,Washington,OH,59423,19.8,21.9,1.301,0.283,0.027,1.183,94.729,56.562,37,20,4,5,0,"53,450",89,3,3,383.66,129.19,155.36,87.8,35,"Parkersburg, WV",143,1,1,44,94,0,1
39169,Wayne,OH,116710,24.2,18.7,1.538,0.229,0.062,2.199,93.472,51.001,81,23,4,3,0,"67,708",112,0,0,548.12,306.78,152.51,78.86,34,"Cleveland-Akron (Canton), OH",41,1,2,39,209,0,1
39171,Williams,OH,36716,22.1,20,1.223,0.357,0.038,5.213,91.753,63.628,34,15,6,6,0,"52,458",87,1,1,410.66,153.5,147.26,103.1,37,"Toledo, OH",185,1,5,42,87,0,1
39173,Wood,OH,132472,20.3,16.1,2.654,0.33,0.041,6.1,87.332,29.546,81,36,2,2,1,"67,865",112,1,1,525.17,165.18,157.83,171.84,23,"Toledo, OH",185,3,6,35,210,1,0
39175,Wyandot,OH,21708,22.3,20.4,0.424,0.295,0.037,3.28,94.477,57.418,21,19,7,9,0,"63,516",105,2,1,545.66,62.3,273.89,209.46,35,"Toledo, OH",185,0,3,42,54,0,1
