excel_index,csv_index,excel_original,csv_original,normalized_address
291,558,305 W. BRIDGE STREET,305 W Bridge St,305 w bridge st
292,786,900 COSHOCTON AVENUE,900 Coshocton Ave,900 coshocton ave
294,893,1725 WEST CENTRAL AVE,1725 W Central Ave,1725 w central ave
295,920,1411 LEXINGTON AVENUE,1411 Lexington Ave,1411 lexington ave
297,865,987 EAST COLUMBUS STREET,987 E Columbus St,987 e columbus st
298,1096,106 MILAN AVENUE,106 Milan Ave,106 milan ave
301,1098,201 WEST MAIN STREET,201 W Main St,201 w main st
302,740,143 EAST SANDUSKY AVENUE,143 E Sandusky Ave,143 e sandusky ave
303,714,324 FOURTH STREET,324 FOURTH ST,324 fourth st
304,832,1020 NORTH MAIN STREET,1020 N Main St,1020 n main st
305,1218,341 WEST HIGH STREET,341 W High St,341 w high st
308,250,555 EAST STATE STREET,555 E State St,555 e state st
309,522,2565 EAST MAIN STREET,2565 E Main St,2565 e main st
310,408,111 SOUTH MEMORIAL DRIVE,111 S Memorial Dr,111 s memorial dr
312,216,1021 NORTH BRIDGE STREET,1021 N Bridge St,1021 n bridge st
313,537,214 LAFAYETTE STREET,214 Lafayette St,214 lafayette st
315,255,32 SOUTH COURT STREET,32 S Court St,32 s ct st
316,405,205 EAST MAIN STREET,205 E Main St,205 e main st
318,825,2217 SUNSET BLVD.,2217 Sunset Blvd,2217 sunset blvd
319,686,404 AETNA STREET,404 Aetna St,404 aetna st
320,676,68501 ADDIE WAY,68501 Addie Way,68501 addie way
321,18,1109 IRONTON HILLS DRIVE,1109 Ironton Hills Dr,1109 ironton hills dr
323,597,4548 EAST MAIN STREET,4548 E Main St,4548 e main st
324,568,4801 WEST BROAD STREET,4801 W Broad St,4801 w broad st
327,309,820 SOUTH BREIEL BLVD,820 S Breiel Blvd,820 s breiel blvd
332,1531,7301 LAKESHORE BLVD.,7301 Lakeshore Blvd,7301 lakeshore blvd
334,712,804 W. MAIN STREET,804 W Main St,804 w main st
337,63,52 W. MAIN STREET,52 W Main St,52 w main st
338,20,2812 SCIOTO TRAIL,2812 Scioto Trail,2812 scioto trail
339,56,947 CINCINNATI BATAVIA PIKE,947 Cincinnati-Batavia Pike,947 cincinnati batavia pike
340,1089,733 WEST MARKET STREET,733 W Market St,733 w market st
341,1011,1130 LINCOLN WAY EAST,1130 Lincoln Way E,1130 lincoln way e
344,899,332 S. MAIN STREET,332 S Main St,332 s main st
359,68,305 WEST MAIN STREET,305 W Main St,305 w main st
364,1052,618 N. CLINTON STREET,618 N Clinton St,618 n clinton st
366,1063,1000 N. WILLIAMS STREET,1000 N Williams St,1000 n williams st
419,1232,210 MAIN STREET,210 Main St,210 main st
431,864,130 S. DETROIT STREET,130 S Detroit St,130 s detroit st
440,922,875 LEXINGTON AVENUE,875 Lexington Ave,875 lexington ave
447,1576,364 MAIN STREET,364 Main St,364 main st
467,927,304 HARDING WAY WEST,304 Harding Way W,304 harding way w
501,1076,301 NORTH MAIN STREET,301 N Main St,301 n main st
504,656,1045 WHEELING AVENUE,1045 Wheeling Ave,1045 wheeling ave
504,664,1045 WHEELING AVENUE,1045 Wheeling Ave,1045 wheeling ave
509,521,1805 SOUTH LIMESTONE STREET,1805 S Limestone St,1805 s limestone st
518,1274,1605 BROADWAY STREET,1605 Broadway St,1605 broadway st
522,538,1782 N High St,1782 N High St,1782 n high st
523,820,4402 SUNSET BLVD.,4402 Sunset Blvd,4402 sunset blvd
