reg,label,fips
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39133,"Portage County, Ohio",39133
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39075,"Holmes County, Ohio",39075
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39017,"Butler County, Ohio",39017
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39117,"Morrow County, Ohio",39117
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39051,"Fulton County, Ohio",39051
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39057,"Greene County, Ohio",39057
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39095,"Lucas County, Ohio",39095
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39085,"Lake County, Ohio",39085
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39131,"Pike County, Ohio",39131
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39121,"Noble County, Ohio",39121
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39081,"Jefferson County, Ohio",39081
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39021,"Champaign County, Ohio",39021
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39015,"Brown County, Ohio",39015
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39171,"Williams County, Ohio",39171
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39135,"Preble County, Ohio",39135
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39143,"Sandusky County, Ohio",39143
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39111,"Monroe County, Ohio",39111
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39063,"Hancock County, Ohio",39063
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39001,"Adams County, Ohio",39001
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39077,"Huron County, Ohio",39077
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39151,"Stark County, Ohio",39151
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39013,"Belmont County, Ohio",39013
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39025,"Clermont County, Ohio",39025
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39059,"Guernsey County, Ohio",39059
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39069,"Henry County, Ohio",39069
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39079,"Jackson County, Ohio",39079
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39153,"Summit County, Ohio",39153
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39053,"Gallia County, Ohio",39053
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39145,"Scioto County, Ohio",39145
http://stko-kwg.geog.ucsb.edu/lod/resource/administrativeRegion.USA.39055,"Geauga County, Ohio",39055
