GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
G39000909727001,390099727001,89,8
G39000909727002,390099727002,90,8
G39000909727003,390099727003,89,8
G39000909728001,390099728001,93,9
G39000909728002,390099728002,93,9
G39000909728003,390099728003,92,9
G39000909729001,390099729001,63,4
G39000909729002,390099729002,63,4
G39000909729003,390099729003,63,4
G39000909729004,390099729004,64,4
G39000909730001,390099730001,47,2
G39000909730002,390099730002,57,3
G39000909731011,390099731011,GQ,GQ
G39000909731012,390099731012,GQ,GQ
G39000909732001,390099732001,65,4
G39000909732002,390099732002,65,4
G39000909732003,390099732003,65,4
G39000909732004,390099732004,65,4
G39000909733001,390099733001,51,3
G39000909733002,390099733002,49,2
G39000909733003,390099733003,48,2
G39000909734001,390099734001,55,3
G39000909734002,390099734002,73,6
G39000909734003,390099734003,95,9
G39000909735001,390099735001,81,7
G39000909735002,390099735002,85,7
G39000909735003,390099735003,76,6
G39000909736001,390099736001,80,7
G39000909736002,390099736002,81,7
G39000909736003,390099736003,82,7
G39000909737001,390099737001,71,5
G39000909737002,390099737002,68,5
G39000909737003,390099737003,64,4
G39000909738001,390099738001,82,7
G39000909738002,390099738002,58,3
G39000909738003,390099738003,68,5
G39000909738004,390099738004,76,6
G39000909739011,390099739011,GQ-PH,GQ-PH
G39000909739012,390099739012,GQ,GQ
G39000909739021,390099739021,69,5
G39000909739022,390099739022,GQ,GQ
G39001100401001,390110401001,77,6
G39001100401002,390110401002,74,6
G39001100401003,390110401003,85,7
G39001100401004,390110401004,61,4
G39001100402001,390110402001,60,4
G39001100402002,390110402002,53,3
G39001100402003,390110402003,85,7
G39001100403001,390110403001,82,7
G39001100403002,390110403002,81,7
G39001100404001,390110404001,74,6
G39001100404002,390110404002,61,4
G39001100404003,390110404003,64,4
G39001100404004,390110404004,85,7
G39001100405001,390110405001,46,2
G39001100405002,390110405002,55,3
G39001100405003,390110405003,55,3
G39001100405004,390110405004,51,3
G39001100406001,390110406001,83,7
G39001100406002,390110406002,86,8
G39001100406003,390110406003,75,6
G39001100406004,390110406004,69,5
G39001100409001,390110409001,53,3
G39001100409002,390110409002,59,3
G39001100409003,390110409003,57,3
G39001100410001,390110410001,30,1
G39001100410002,390110410002,52,3
G39001100410003,390110410003,47,2
G39001100411001,390110411001,66,4
G39001100411002,390110411002,50,2
G39001100411003,390110411003,47,2
G39001100411004,390110411004,70,5
G39001100412011,390110412011,73,6
G39001100412012,390110412012,68,5
G39001100412021,390110412021,73,6
G39001100412022,390110412022,79,7
G39001100412023,390110412023,75,6
G39001100412024,390110412024,80,7
G39001100412025,390110412025,60,4
G39001300101001,390130101001,85,7
G39001300101002,390130101002,86,8
G39001300101003,390130101003,95,9
G39001300101004,390130101004,89,8
G39001300101005,390130101005,88,8
G39001300101006,390130101006,86,8
G39001300102001,390130102001,91,8
G39001300102002,390130102002,90,8
G39001300102003,390130102003,89,8
G39001300102004,390130102004,93,9
G39001300103001,390130103001,68,5
G39001300103002,390130103002,65,4
G39001300103003,390130103003,66,4
G39001300106001,390130106001,89,8
G39001300106002,390130106002,82,7
G39001300106003,390130106003,86,8
G39001300107001,390130107001,51,3
G39001300107002,390130107002,59,3
G39001300107003,390130107003,57,3
G39001300108021,390130108021,88,8
G39001300108022,390130108022,78,6
G39001300109011,390130109011,57,3
G39001300109021,390130109021,65,4
G39001300109022,390130109022,83,7
G39001300109023,390130109023,91,8
G39001300109024,390130109024,94,9
G39001300109025,390130109025,71,5
G39001300110001,390130110001,60,4
G39001300110002,390130110002,79,7
G39001300110003,390130110003,80,7
G39001300110004,390130110004,84,7
G39001300110005,390130110005,84,7
G39001300112001,390130112001,61,4
G39001300112002,390130112002,68,5
G39001300112003,390130112003,64,4
G39001300113001,390130113001,78,6
G39001300113002,390130113002,80,7
G39001300113003,390130113003,82,7
G39001300114001,390130114001,85,7
G39001300114002,390130114002,79,7
G39001300114003,390130114003,80,7
G39001300114004,390130114004,80,7
G39001300115001,390130115001,86,8
G39001300115002,390130115002,89,8
G39001300116001,390130116001,94,9
G39001300116002,390130116002,98,10
G39001300117001,390130117001,98,10
G39001300117002,390130117002,91,8
G39001300119001,390130119001,91,8
G39001300119002,390130119002,93,9
G39001300119003,390130119003,89,8
G39001300120001,390130120001,96,9
G39001300120002,390130120002,88,8
G39001300121001,390130121001,95,9
G39001300122011,390130122011,49,2
G39001300122012,390130122012,81,7
G39001300122021,390130122021,GQ,GQ
G39001300122022,390130122022,62,4
G39001300123001,390130123001,66,4
G39001300123002,390130123002,56,3
G39001300123003,390130123003,57,3
G39001300124001,390130124001,46,2
G39001300124002,390130124002,58,3
G39001300124003,390130124003,64,4
G39001300124004,390130124004,62,4
G39001509512011,390159512011,64,4
G39001509512012,390159512012,62,4
G39001509512013,390159512013,55,3
G39001509512014,390159512014,62,4
G39001509512021,390159512021,68,5
G39001509512022,390159512022,60,4
G39001509512023,390159512023,60,4
G39001509512024,390159512024,69,5
G39001509513011,390159513011,68,5
G39001509513012,390159513012,67,5
G39001509513013,390159513013,54,3
G39001509513021,390159513021,90,8
G39001509513022,390159513022,81,7
G39001509514001,390159514001,86,8
G39001509514002,390159514002,63,4
G39001509514003,390159514003,74,6
G39001509515001,390159515001,63,4
G39001509515002,390159515002,60,4
G39001509515003,390159515003,69,5
G39001509515004,390159515004,59,3
G39001509516001,390159516001,75,6
G39001509516002,390159516002,85,7
G39001509516003,390159516003,83,7
G39001509517001,390159517001,77,6
G39001509517002,390159517002,77,6
G39001509517003,390159517003,82,7
G39001509518001,390159518001,89,8
G39001509518002,390159518002,90,8
G39001509518003,390159518003,90,8
G39001509518004,390159518004,89,8
G39001509519001,390159519001,72,5
G39001509519002,390159519002,67,5
G39001509519003,390159519003,88,8
G39001509519004,390159519004,77,6
G39001700001001,390170001001,85,7
G39001700001002,390170001002,80,7
G39001700001003,390170001003,81,7
G39001700001004,390170001004,81,7
G39001700001005,390170001005,80,7
G39001700001006,390170001006,79,7
G39001700002001,390170002001,97,10
G39001700002002,390170002002,91,8
G39001700002003,390170002003,78,6
G39001700002004,390170002004,94,9
G39001700002005,390170002005,89,8
G39001700003001,390170003001,99,10
G39001700003002,390170003002,99,10
G39001700003003,390170003003,99,10
G39001700004001,390170004001,96,9
G39001700004002,390170004002,96,9
G39001700004003,390170004003,GQ,GQ
G39001700004004,390170004004,96,9
G39001700004005,390170004005,96,9
G39001700005001,390170005001,91,8
G39001700005002,390170005002,93,9
G39001700005003,390170005003,94,9
G39001700005004,390170005004,98,10
G39001700005005,390170005005,95,9
G39001700005006,390170005006,96,9
G39001700006001,390170006001,93,9
G39001700006002,390170006002,95,9
G39001700006003,390170006003,96,9
G39001700006004,390170006004,97,10
G39001700006005,390170006005,97,10
G39001700006006,390170006006,96,9
G39001700010011,390170010011,67,5
G39001700010012,390170010012,48,2
G39001700010021,390170010021,82,7
G39001700010022,390170010022,52,3
G39001700010023,390170010023,65,4
G39001700010024,390170010024,65,4
G39001700010025,390170010025,48,2
G39001700011001,390170011001,97,10
G39001700011002,390170011002,93,9
G39001700011003,390170011003,86,8
G39001700011004,390170011004,89,8
G39001700011005,390170011005,89,8
G39001700013001,390170013001,68,5
G39001700013002,390170013002,59,3
G39001700013003,390170013003,77,6
G39001700101021,390170101021,39,2
G39001700101022,390170101022,70,5
G39001700101031,390170101031,53,3
G39001700101032,390170101032,48,2
G39001700101033,390170101033,55,3
G39001700101041,390170101041,GQ,GQ
G39001700101051,390170101051,GQ,GQ
G39001700101052,390170101052,81,7
G39001700101053,390170101053,81,7
G39001700101061,390170101061,75,6
G39001700101062,390170101062,74,6
G39001700101063,390170101063,74,6
G39001700102011,390170102011,GQ-PH,GQ-PH
G39001700102021,390170102021,49,2
G39001700102022,390170102022,51,3
G39001700102023,390170102023,47,2
G39001700102031,390170102031,39,2
G39001700102032,390170102032,44,2
G39001700102033,390170102033,38,2
G39001700103011,390170103011,61,4
G39001700103012,390170103012,70,5
G39001700103013,390170103013,59,3
G39001700103021,390170103021,55,3
G39001700103022,390170103022,50,2
G39001700105001,390170105001,90,8
G39001700105002,390170105002,94,9
G39001700106001,390170106001,70,5
G39001700106002,390170106002,65,4
G39001700108001,390170108001,39,2
G39001700108002,390170108002,74,6
G39001700108003,390170108003,47,2
G39001700108004,390170108004,28,1
G39001700109011,390170109011,69,5
G39001700109012,390170109012,69,5
G39001700109013,390170109013,69,5
G39001700109014,390170109014,62,4
G39001700109015,390170109015,63,4
G39001700109031,390170109031,51,3
G39001700109032,390170109032,56,3
G39001700109033,390170109033,50,2
G39001700109034,390170109034,50,2
G39001700109041,390170109041,62,4
G39001700109042,390170109042,69,5
G39001700109043,390170109043,70,5
G39001700109044,390170109044,65,4
G39001700109061,390170109061,73,6
G39001700109062,390170109062,68,5
G39001700109063,390170109063,66,4
G39001700109064,390170109064,67,5
G39001700109065,390170109065,62,4
G39001700109071,390170109071,67,5
G39001700109072,390170109072,57,3
G39001700109091,390170109091,94,9
G39001700109092,390170109092,62,4
G39001700109093,390170109093,84,7
G39001700109101,390170109101,45,2
G39001700109102,390170109102,57,3
G39001700109103,390170109103,43,2
G39001700109111,390170109111,52,3
G39001700109112,390170109112,41,2
G39001700109113,390170109113,70,5
G39001700109121,390170109121,58,3
G39001700109122,390170109122,64,4
G39001700109131,390170109131,76,6
G39001700109132,390170109132,81,7
G39001700109133,390170109133,78,6
G39001700110031,390170110031,44,2
G39001700110032,390170110032,46,2
G39001700110033,390170110033,53,3
G39001700110041,390170110041,70,5
G39001700110042,390170110042,70,5
G39001700110043,390170110043,71,5
G39001700110044,390170110044,71,5
G39001700110051,390170110051,42,2
G39001700110052,390170110052,35,1
G39001700110053,390170110053,37,2
G39001700110061,390170110061,42,2
G39001700110062,390170110062,50,2
G39001700111091,390170111091,76,6
G39001700111092,390170111092,38,2
G39001700111093,390170111093,44,2
G39001700111094,390170111094,48,2
G39001700111101,390170111101,33,1
G39001700111102,390170111102,34,1
G39001700111103,390170111103,41,2
G39001700111104,390170111104,40,2
G39001700111111,390170111111,38,2
G39001700111112,390170111112,41,2
G39001700111113,390170111113,47,2
G39001700111114,390170111114,39,2
G39001700111121,390170111121,25,1
G39001700111122,390170111122,11,1
G39001700111123,390170111123,31,1
G39001700111181,390170111181,16,1
G39001700111182,390170111182,15,1
G39001700111201,390170111201,36,1
G39001700111202,390170111202,37,2
G39001700111203,390170111203,37,2
G39001700111204,390170111204,39,2
G39001700111221,390170111221,34,1
G39001700111222,390170111222,28,1
G39001700111223,390170111223,55,3
G39001700111231,390170111231,100,10
G39001700111232,390170111232,56,3
G39001700111233,390170111233,85,7
G39001700111251,390170111251,14,1
G39001700111252,390170111252,44,2
G39001700111253,390170111253,41,2
G39001700111261,390170111261,41,2
G39001700111262,390170111262,41,2
G39001700111263,390170111263,32,1
G39001700111264,390170111264,29,1
G39001700111271,390170111271,42,2
G39001700111272,390170111272,31,1
G39001700111281,390170111281,23,1
G39001700111291,390170111291,44,2
G39001700111292,390170111292,32,1
G39001700111301,390170111301,37,2
G39001700111302,390170111302,70,5
G39001700111303,390170111303,29,1
G39001700111311,390170111311,34,1
G39001700111312,390170111312,31,1
G39001700111321,390170111321,39,2
G39001700111322,390170111322,20,1
G39001700111331,390170111331,18,1
G39001700111332,390170111332,26,1
G39001700111333,390170111333,18,1
G39001700111341,390170111341,27,1
G39001700111342,390170111342,32,1
G39001700111343,390170111343,43,2
G39001700111351,390170111351,25,1
G39001700111352,390170111352,18,1
G39001700111353,390170111353,63,4
G39001700111361,390170111361,30,1
G39001700111362,390170111362,24,1
G39001700111363,390170111363,25,1
G39001700111371,390170111371,28,1
G39001700111372,390170111372,21,1
G39001700112001,390170112001,51,3
G39001700112002,390170112002,52,3
G39001700112003,390170112003,41,2
G39001700112004,390170112004,53,3
G39001700113001,390170113001,61,4
G39001700113002,390170113002,47,2
G39001700113003,390170113003,43,2
G39001700118001,390170118001,50,2
G39001700118002,390170118002,69,5
G39001700118003,390170118003,57,3
G39001700121001,390170121001,57,3
G39001700121002,390170121002,84,7
G39001700122001,390170122001,92,9
G39001700122002,390170122002,93,9
G39001700122003,390170122003,98,10
G39001700123001,390170123001,87,8
G39001700123002,390170123002,95,9
G39001700124001,390170124001,50,2
G39001700124002,390170124002,46,2
G39001700125001,390170125001,68,5
G39001700125002,390170125002,67,5
G39001700125003,390170125003,56,3
G39001700125004,390170125004,50,3
G39001700126001,390170126001,59,3
G39001700126002,390170126002,89,8
G39001700126003,390170126003,72,5
G39001700127001,390170127001,80,7
G39001700127002,390170127002,80,7
G39001700127003,390170127003,87,8
G39001700130001,390170130001,90,8
G39001700130002,390170130002,92,9
G39001700131001,390170131001,99,10
G39001700131002,390170131002,99,10
G39001700132001,390170132001,80,7
G39001700132002,390170132002,94,9
G39001700133001,390170133001,79,7
G39001700133002,390170133002,64,4
G39001700134001,390170134001,85,7
G39001700134002,390170134002,81,7
G39001700135001,390170135001,91,8
G39001700135002,390170135002,92,9
G39001700135003,390170135003,94,9
G39001700135004,390170135004,93,9
G39001700136001,390170136001,89,8
G39001700136002,390170136002,89,8
G39001700136003,390170136003,85,8
G39001700136004,390170136004,88,8
G39001700139001,390170139001,94,9
G39001700139002,390170139002,94,9
G39001700139003,390170139003,97,10
G39001700139004,390170139004,96,9
G39001700140001,390170140001,97,10
G39001700140002,390170140002,91,8
G39001700141001,390170141001,76,6
G39001700141002,390170141002,97,10
G39001700143001,390170143001,52,3
G39001700143002,390170143002,52,3
G39001700143003,390170143003,53,3
G39001700143004,390170143004,53,3
G39001700144001,390170144001,98,10
G39001700144002,390170144002,100,10
G39001700144003,390170144003,100,10
G39001700146001,390170146001,94,9
G39001700146002,390170146002,89,8
G39001700147001,390170147001,87,8
G39001700147002,390170147002,85,8
G39001700147003,390170147003,82,7
G39001700148001,390170148001,70,5
G39001700148002,390170148002,76,6
G39001700148003,390170148003,70,5
G39001700148004,390170148004,82,7
G39001700148005,390170148005,77,6
G39001700148006,390170148006,75,6
G39001700149001,390170149001,79,7
G39001700149002,390170149002,79,7
G39001700149003,390170149003,56,3
G39001700149004,390170149004,28,1
G39001700150001,390170150001,57,3
G39001700150002,390170150002,49,2
G39001700150003,390170150003,44,2
G39001700150004,390170150004,54,3
G39001700150005,390170150005,59,3
G39001700151001,390170151001,65,4
G39001700151002,390170151002,62,4
G39001700151003,390170151003,60,4
G39001700151004,390170151004,59,3
G39001700151005,390170151005,78,6
G39001907201001,390197201001,63,4
G39001907201002,390197201002,63,4
G39001907202001,390197202001,92,9
G39001907202002,390197202002,70,5
G39001907202003,390197202003,76,6
G39001907203001,390197203001,79,7
G39001907203002,390197203002,94,9
G39001907203003,390197203003,64,4
G39001907203004,390197203004,64,4
G39001907203005,390197203005,65,4
G39001907204001,390197204001,64,4
G39001907204002,390197204002,67,5
G39001907204003,390197204003,75,6
G39001907204004,390197204004,83,7
G39001907205001,390197205001,89,8
G39001907205002,390197205002,87,8
G39001907205003,390197205003,81,7
G39001907205004,390197205004,81,7
G39001907205005,390197205005,70,5
G39001907206001,390197206001,76,6
G39001907206002,390197206002,60,4
G39001907206003,390197206003,70,5
G39001907207001,390197207001,77,6
G39001907207002,390197207002,70,5
G39001907207003,390197207003,74,6
G39002100101001,390210101001,59,3
G39002100101002,390210101002,51,3
G39002100102001,390210102001,66,4
G39002100102002,390210102002,69,5
G39002100102003,390210102003,71,5
G39002100102004,390210102004,68,5
G39002100102005,390210102005,71,5
G39002100102006,390210102006,71,5
G39002100104001,390210104001,89,8
G39002100104002,390210104002,85,8
G39002100104003,390210104003,86,8
G39002100104004,390210104004,87,8
G39002100105001,390210105001,76,6
G39002100105002,390210105002,75,6
G39002100105003,390210105003,78,6
G39002100105004,390210105004,76,6
G39002100106001,390210106001,60,4
G39002100106002,390210106002,81,7
G39002100106003,390210106003,80,7
G39002100110011,390210110011,52,3
G39002100110012,390210110012,53,3
G39002100115011,390210115011,60,4
G39002100115012,390210115012,50,3
G39002100115013,390210115013,61,4
G39002100115041,390210115041,65,4
G39002100115042,390210115042,66,4
G39002100115043,390210115043,66,4
G39002100115044,390210115044,67,5
G39002100115045,390210115045,71,5
G39002100115051,390210115051,78,6
G39002100115052,390210115052,61,4
G39002100115053,390210115053,76,6
G39002100115061,390210115061,54,3
G39002100115062,390210115062,75,6
G39002300002001,390230002001,97,10
G39002300002002,390230002002,99,10
G39002300003001,390230003001,100,10
G39002300003002,390230003002,100,10
G39002300004001,390230004001,94,9
G39002300004002,390230004002,95,9
G39002300004003,390230004003,98,10
G39002300005001,390230005001,99,10
G39002300005002,390230005002,99,10
G39002300005003,390230005003,99,10
G39002300006001,390230006001,94,9
G39002300006002,390230006002,94,9
G39002300006003,390230006003,94,9
G39002300006004,390230006004,94,9
G39002300007001,390230007001,96,9
G39002300007002,390230007002,GQ,GQ
G39002300007003,390230007003,GQ,GQ
G39002300009011,390230009011,100,10
G39002300009012,390230009012,100,10
G39002300009013,390230009013,100,10
G39002300009021,390230009021,99,10
G39002300010001,390230010001,92,9
G39002300011011,390230011011,98,10
G39002300011012,390230011012,99,10
G39002300011021,390230011021,89,8
G39002300011022,390230011022,89,8
G39002300011023,390230011023,88,8
G39002300012001,390230012001,98,10
G39002300012002,390230012002,99,10
G39002300012003,390230012003,99,10
G39002300012004,390230012004,98,10
G39002300012005,390230012005,98,10
G39002300013001,390230013001,91,8
G39002300013002,390230013002,90,8
G39002300013003,390230013003,95,9
G39002300013004,390230013004,99,10
G39002300013005,390230013005,94,9
G39002300014001,390230014001,96,9
G39002300014002,390230014002,92,9
G39002300014003,390230014003,92,9
G39002300014004,390230014004,92,9
G39002300015001,390230015001,91,8
G39002300015002,390230015002,87,8
G39002300015003,390230015003,92,9
G39002300015004,390230015004,89,8
G39002300016001,390230016001,79,7
G39002300016002,390230016002,63,4
G39002300016003,390230016003,65,4
G39002300017001,390230017001,80,7
G39002300017002,390230017002,96,9
G39002300019001,390230019001,88,8
G39002300019002,390230019002,70,5
G39002300020001,390230020001,58,3
G39002300020002,390230020002,53,3
G39002300021001,390230021001,98,10
G39002300021002,390230021002,72,5
G39002300022001,390230022001,56,3
G39002300022002,390230022002,49,2
G39002300022003,390230022003,53,3
G39002300022004,390230022004,49,2
G39002300022005,390230022005,54,3
G39002300023011,390230023011,52,3
G39002300023012,390230023012,65,4
G39002300024031,390230024031,70,5
G39002300024032,390230024032,67,5
G39002300024033,390230024033,90,8
G39002300024041,390230024041,83,7
G39002300024042,390230024042,80,7
G39002300025011,390230025011,66,4
G39002300025021,390230025021,74,6
G39002300025022,390230025022,50,3
G39002300025023,390230025023,78,6
G39002300025024,390230025024,99,10
G39002300026011,390230026011,53,3
G39002300026012,390230026012,54,3
G39002300026013,390230026013,56,3
G39002300026021,390230026021,57,3
G39002300026022,390230026022,51,3
G39002300026023,390230026023,57,3
G39002300026051,390230026051,42,2
G39002300026052,390230026052,57,3
G39002300026071,390230026071,72,5
G39002300026072,390230026072,73,6
G39002300026081,390230026081,72,5
G39002300026082,390230026082,77,6
G39002300027011,390230027011,86,8
G39002300027012,390230027012,90,8
G39002300027013,390230027013,90,8
G39002300027021,390230027021,79,7
G39002300027022,390230027022,78,6
G39002300028001,390230028001,48,2
G39002300028002,390230028002,69,5
G39002300028003,390230028003,50,3
G39002300029011,390230029011,87,8
G39002300029012,390230029012,89,8
G39002300029013,390230029013,91,8
G39002300029014,390230029014,87,8
G39002300029021,390230029021,83,7
G39002300029022,390230029022,91,8
G39002300029023,390230029023,85,8
G39002300029024,390230029024,89,8
